hp_diff,hazards_active,is_late_game,action
75.9322033898305,0,1,0
67.45762711864407,0,1,0
24.13985023274641,0,0,0
51.148552924509204,0,0,0
-29.629629629629633,0,0,0
0.0,0,0,1
32.727272727272734,0,0,0
-71.27272727272727,0,0,1
-86.54545454545455,0,0,0
-24.880697312037405,0,0,0
60.53515777171796,0,0,0
-11.029411764705884,0,0,0
12.446351931330469,0,0,0
68.6695278969957,0,0,0
-38.60294117647059,0,0,0
27.03940066592675,0,1,0
-35.66176470588235,0,1,0
-9.92647058823529,0,1,0
54.16666666666667,0,1,0
50.0,0,1,0
45.83333333333333,0,1,0
5.0847457627118615,0,0,0
0.0,0,0,1
-18.66666666666667,0,0,0
3.6572504708097995,0,0,0
20.896421845574395,0,0,0
-47.55555555555555,0,0,0
-3.621468926553675,0,0,0
13.193973634651599,0,0,0
-77.77777777777777,0,0,0
-12.233521657250478,0,0,0
