battle_id,heuristic,opponent_type,winner,won,turns,team_us,team_opp,fainted_us,remaining_pokemon_us,total_hp_us,fainted_opp,remaining_pokemon_opp,total_hp_opp
battle-gen9randombattle-7623,v1,random,v1Ad73f2ab1p8001,1,23,greninja|ironleaves|lycanroc|moltres|sinistchamasterpiece|venomoth,basculinbluestriped|dragapult|frosmoth|giratina|gyarados|taurospaldeablaze,2,4,3.372,6,0,0.0
battle-gen9randombattle-7624,v1,random,v1Ad73f2ab1p8001,1,18,empoleon|hawlucha|mabosstiff|pecharunt|pyroar|sinistchamasterpiece,chimecho|kommoo|kyogre|lugia|qwilfish|taurospaldeablaze,2,4,3.579,6,0,0.0
battle-gen9randombattle-7625,v1,random,v1Ad73f2ab1p8001,1,22,blastoise|dialga|magcargo|plusle|salamence|zoroark,blaziken|comfey|farigiraf|hatterene|urshifurapidstrike|vileplume,1,5,3.775,6,0,0.0
battle-gen9randombattle-7626,v1,random,v1Ad73f2ab1p8001,1,28,garchomp|gumshoos|ludicolo|miraidon|regirock|vileplume,delphox|dragapult|gothitelle|inteleon|kricketune|staraptor,3,3,2.925,6,0,0.0
battle-gen9randombattle-7627,v1,random,v1Ad73f2ab1p8001,1,25,corviknight|flygon|hariyama|regice|ribombee|volcanion,amoonguss|dragapult|minun|pikachusinnoh|quaquaval|wugtrio,3,3,3.0,6,0,0.0
battle-gen9randombattle-7628,v1,random,v1Ad73f2ab1p8001,1,18,blaziken|lapras|scovillain|skuntank|vaporeon|weavile,chesnaught|gholdengo|miniorgreen|taurospaldeablaze|ursaring|vespiquen,2,4,3.154,6,0,0.0
battle-gen9randombattle-7629,v1,random,v1Ad73f2ab1p8001,1,24,cetitan|gothitelle|grimmsnarl|porygon2|veluza|vigoroth,dunsparce|flamigo|gogoat|greedent|ironjugulis|samurott,3,3,2.644,6,0,0.0
battle-gen9randombattle-7630,v1,random,v1Ad73f2ab1p8001,1,25,arceusrock|granbull|krookodile|pecharunt|slowking|tatsugiri,dodrio|haxorus|lunala|noctowl|reuniclus|terrakion,0,6,5.158,6,0,0.0
battle-gen9randombattle-7631,v1,random,v1Ad73f2ab1p8001,1,18,deoxys|flareon|hatterene|hitmonlee|ogerponwellspring|walkingwake,breloom|duraludon|medicham|primarina|scovillain|tauros,4,2,1.794,6,0,0.0
battle-gen9randombattle-7632,v1,random,v1Ad73f2ab1p8001,1,17,azelf|clefable|drifblim|mew|swanna|zacian,floatzel|gurdurr|ironbundle|kleavor|lucario|spectrier,2,4,3.487,6,0,0.0
battle-gen9randombattle-7633,v1,random,v1Ad73f2ab1p8001,1,24,glimmora|heracross|manaphy|milotic|registeel|torkoal,basculin|klefki|leafeon|meowscarada|mismagius|zekrom,1,5,4.493,6,0,0.0
battle-gen9randombattle-7634,v1,random,v1Ad73f2ab1p8001,1,25,abomasnow|gastrodoneast|smeargle|terrakion|tsareena|walkingwake,azumarill|kingambit|leafeon|rhyperior|smeargle|vaporeon,4,2,1.17,6,0,0.0
battle-gen9randombattle-7635,v1,random,v1Ad73f2ab1p8001,1,24,excadrill|flamigo|giratina|grimmsnarl|pachirisu|salazzle,altaria|bombirdier|ironthorns|tinglu|typhlosion|ursaring,2,4,3.356,6,0,0.0
battle-gen9randombattle-7636,v1,random,v1Ad73f2ab1p8001,1,19,bronzong|drednaw|garchomp|gurdurr|hitmonlee|toxapex,espeon|forretress|gardevoir|hariyama|masquerain|tsareena,2,4,3.277,6,0,0.0
battle-gen9randombattle-7637,v1,random,v1Ad73f2ab1p8001,1,21,camerupt|cobalion|frosmoth|oricoriosensu|reshiram|sunflora,flapple|froslass|kingdra|ogerponcornerstone|okidogi|regigigas,4,2,2.0,6,0,0.0
battle-gen9randombattle-7638,v1,random,v1Ad73f2ab1p8001,1,29,bastiodon|cinccino|drednaw|latias|pachirisu|toucannon,golem|hoopaunbound|infernape|meganium|toxicroak|ursalunabloodmoon,5,1,0.513,6,0,0.0
battle-gen9randombattle-7639,v1,random,v1Ad73f2ab1p8001,1,15,ampharos|arbok|espathra|infernape|kommoo|vigoroth,duraludon|hariyama|latios|leafeon|primarina|scovillain,3,3,2.411,6,0,0.0
battle-gen9randombattle-7640,v1,random,v1Ad73f2ab1p8001,1,24,decidueyehisui|dipplin|froslass|ribombee|sudowoodo|ursaring,delibird|gengar|houndstone|meloetta|okidogi|snorlax,2,4,3.604,6,0,0.0
battle-gen9randombattle-7641,v1,random,v1Ad73f2ab1p8001,1,47,decidueyehisui|deoxysdefense|hippowdon|morpeko|noctowl|oranguru,komala|lapras|raikou|skeledirge|vespiquen|walkingwake,3,3,3.0,6,0,0.0
battle-gen9randombattle-7642,v1,random,v1Ad73f2ab1p8001,1,29,calyrexice|garganacl|kingdra|ragingbolt|sawsbucksummer|shaymin,dragapult|gogoat|mabosstiff|munkidori|regigigas|roaringmoon,3,3,2.799,6,0,0.0
battle-gen9randombattle-7643,v1,random,v1Ad73f2ab1p8001,1,19,brambleghast|kyuremwhite|mesprit|mimikyubusted|palafin|sawsbucksummer,ampharos|barraskewda|chienpao|galvantula|typhlosionhisui|uxie,5,1,0.67,6,0,0.0
battle-gen9randombattle-7644,v1,random,Oppd73f2ab1p8001,0,25,cinccino|froslass|kommoo|sandaconda|talonflame|zaciancrowned,armarouge|ironbundle|leavanny|regieleki|slowbro|taurospaldeablaze,6,0,0.0,5,1,0.36
battle-gen9randombattle-7645,v1,random,v1Ad73f2ab1p8001,1,27,alcremierubyswirl|archaludon|clodsire|gumshoos|kingambit|volcarona,azelf|chandelure|deoxysattack|sandslash|torkoal|vikavolt,3,3,2.551,6,0,0.0
battle-gen9randombattle-7646,v1,random,v1Ad73f2ab1p8001,1,13,gumshoos|ironhands|lunala|mandibuzz|piloswine|raikou,kommoo|luvdisc|mamoswine|okidogi|stonjourner|toxapex,1,5,4.919,6,0,0.0
battle-gen9randombattle-7647,v1,random,v1Ad73f2ab1p8001,1,23,comfey|corviknight|gallade|girafarig|glimmora|zekrom,dusknoir|espeon|ironjugulis|perrserker|victreebel|zebstrika,2,4,3.394,6,0,0.0
battle-gen9randombattle-7648,v1,random,v1Ad73f2ab1p8001,1,20,grimmsnarl|grumpig|hitmonlee|squawkabillywhite|whiscash|wyrdeer,dodrio|dusknoir|haxorus|lycanrocdusk|palkiaorigin|piloswine,3,3,2.876,6,0,0.0
