battle_id,heuristic,opponent_type,winner,won,turns,team_us,team_opp,fainted_us,remaining_pokemon_us,total_hp_us,fainted_opp,remaining_pokemon_opp,total_hp_opp
battle-gen9randomdoublesbattle-61138,v1,random,v1Ab728c380p8000,1,6,arceusfairy|basculegion|electivire|passimian|ursalunabloodmoon|weavile,diancie|grafaiai|kyogre|pincurchin|porygon2|rillaboom,0,6,5.113,6,0,0.0
battle-gen9randomdoublesbattle-61139,v1,random,v1Ab728c380p8000,1,7,brambleghast|groudon|hooh|kingdra|leafeon|raikou,basculegion|copperajah|cramorant|flapple|sandyshocks|skeledirge,1,5,4.848,6,0,0.0
battle-gen9randomdoublesbattle-61140,v1,random,v1Ab728c380p8000,1,18,houndoom|munkidori|quaquaval|regice|rotomfan|terapagos,alcremierubycream|altaria|glaceon|glalie|jirachi|minun,1,5,3.168,6,0,0.0
battle-gen9randomdoublesbattle-61141,v1,random,v1Ab728c380p8000,1,7,armarouge|articuno|braviary|garganacl|quaquaval|rotom,charizard|fluttermane|mightyena|passimian|toxapex|vikavolt,2,4,3.528,6,0,0.0
battle-gen9randomdoublesbattle-61142,v1,random,v1Ab728c380p8000,1,7,brambleghast|copperajah|hatterene|plusle|quaquaval|samurotthisui,arceusfighting|eternatus|pikachusinnoh|sawsbuckautumn|seviper|slaking,3,3,2.067,6,0,0.0
battle-gen9randomdoublesbattle-61143,v1,random,v1Ab728c380p8000,1,8,coalossal|salamence|sinistcha|skarmory|smeargle|weezinggalar,eternatus|floatzel|hitmonlee|miniorviolet|spiritomb|ursalunabloodmoon,1,5,4.22,6,0,0.0
battle-gen9randomdoublesbattle-61144,v1,random,v1Ab728c380p8000,1,11,donphan|ironmoth|kingambit|milotic|mismagius|skeledirge,arceusground|azelf|dragalge|hoopaunbound|regidrago|urshifurapidstrike,1,5,4.117,6,0,0.0
battle-gen9randomdoublesbattle-61145,v1,random,v1Ab728c380p8000,1,10,alomomola|grafaiai|mimikyubusted|miraidon|tatsugiri|wochien,cobalion|conkeldurr|espeon|gumshoos|victreebel|weavile,3,3,1.368,6,0,0.0
battle-gen9randomdoublesbattle-61146,v1,random,v1Ab728c380p8000,1,9,delibird|drifblim|espathra|ludicolo|pachirisu|tentacruel,goodrahisui|skuntank|torterra|toucannon|typhlosionhisui|vikavolt,3,3,1.98,6,0,0.0
battle-gen9randomdoublesbattle-61147,v1,random,v1Ab728c380p8000,1,6,calyrexice|giratinaorigin|lycanroc|pawmot|staraptor|vikavolt,glimmora|grafaiai|hatterene|rampardos|regigigas|volcarona,2,4,2.879,6,0,0.0
battle-gen9randomdoublesbattle-61148,v1,random,v1Ab728c380p8000,1,6,diancie|kyogre|leafeon|regigigas|spidops|veluza,bellibolt|golurk|jumpluff|reuniclus|snorlax|wyrdeer,1,5,4.51,6,0,0.0
battle-gen9randomdoublesbattle-61149,v1,random,v1Ab728c380p8000,1,7,chandelure|dodrio|grafaiai|kommoo|lapras|ogerpon,breloom|clefable|hippowdon|lumineon|pawmot|spiritomb,2,4,3.26,6,0,0.0
battle-gen9randomdoublesbattle-61150,v1,random,v1Ab728c380p8000,1,9,altaria|deoxys|entei|rampardos|staraptor|sudowoodo,alomomola|cinderace|ironthorns|mismagius|ogerponwellspring|raikou,3,3,2.701,6,0,0.0
battle-gen9randomdoublesbattle-61151,v1,random,v1Ab728c380p8000,1,8,necrozmaduskmane|quaquaval|rotommow|swanna|wochien|zebstrika,alomomola|pecharunt|porygonz|primarina|regigigas|trevenant,0,6,4.739,6,0,0.0
battle-gen9randomdoublesbattle-61152,v1,random,v1Ab728c380p8000,1,9,feraligatr|hoopa|lapras|porygon2|skarmory|toxtricitylowkey,ceruledge|coalossal|crabominable|cryogonal|wugtrio|zacian,2,4,2.612,6,0,0.0
battle-gen9randomdoublesbattle-61153,v1,random,v1Ab728c380p8000,1,6,greedent|krookodile|slowking|taurospaldeaaqua|thundurus|toxtricity,chiyu|gardevoir|hawlucha|meowscarada|revavroom|torterra,2,4,3.122,6,0,0.0
battle-gen9randomdoublesbattle-61154,v1,random,v1Ab728c380p8000,1,11,dewgong|forretress|samurotthisui|sandslash|sceptile|trevenant,cresselia|greedent|luvdisc|murkrow|ribombee|uxie,1,5,4.277,6,0,0.0
battle-gen9randomdoublesbattle-61155,v1,random,v1Ab728c380p8000,1,7,avalugghisui|azumarill|dragonite|raikou|slowbrogalar|vivillonpolar,chandelure|golurk|persian|rotommow|suicune|toxicroak,2,4,3.858,6,0,0.0
battle-gen9randomdoublesbattle-61156,v1,random,v1Ab728c380p8000,1,9,bellibolt|cresselia|excadrill|milotic|rotommow|sawsbucksummer,eelektross|heracross|ironjugulis|minun|noivern|sandslash,1,5,4.267,6,0,0.0
battle-gen9randomdoublesbattle-61157,v1,random,v1Ab728c380p8000,1,8,bastiodon|golduck|hitmonchan|latias|meganium|sylveon,bellibolt|delphox|farigiraf|floatzel|squawkabillywhite|urshifurapidstrike,1,5,5.0,6,0,0.0
battle-gen9randomdoublesbattle-61158,v1,random,Oppb728c380p8000,0,10,arboliva|greedent|pecharunt|rhyperior|sneasler|vikavolt,breloom|charizard|inteleon|ironvaliant|ludicolo|regieleki,6,0,0.0,5,1,0.6
battle-gen9randomdoublesbattle-61159,v1,random,v1Ab728c380p8000,1,7,ironmoth|lumineon|roaringmoon|rotomwash|tinglu|typhlosionhisui,araquanid|cramorant|heracross|lurantis|porygonz|toucannon,1,5,5.0,6,0,0.0
battle-gen9randomdoublesbattle-61160,v1,random,v1Ab728c380p8000,1,7,flareon|garchomp|heatran|lunala|tinkaton|zacian,altaria|diancie|fluttermane|raikou|regigigas|rotomwash,1,5,4.069,6,0,0.0
battle-gen9randomdoublesbattle-61161,v1,random,v1Ab728c380p8000,1,8,cacturne|decidueye|gardevoir|gastrodoneast|palossand|seviper,banette|froslass|kricketune|murkrow|orthworm|sandaconda,2,4,3.335,6,0,0.0
battle-gen9randomdoublesbattle-61162,v1,random,v1Ab728c380p8000,1,8,basculin|electivire|golemalola|gothitelle|sudowoodo|tauros,archaludon|azelf|ironjugulis|jolteon|skeledirge|tropius,5,1,0.777,6,0,0.0
battle-gen9randomdoublesbattle-61163,v1,random,v1Ab728c380p8000,1,6,floatzel|glimmora|hypno|mew|rotom|salamence,chimecho|drednaw|farigiraf|heracross|swanna|zebstrika,1,5,4.273,6,0,0.0
battle-gen9randomdoublesbattle-61164,v1,random,v1Ab728c380p8000,1,10,banette|ironboulder|oricoriopau|perrserker|plusle|sylveon,comfey|crabominable|heatran|lucario|magmar|torterra,1,5,4.3,6,0,0.0
battle-gen9randomdoublesbattle-61165,v1,random,v1Ab728c380p8000,1,8,clefairy|drednaw|electabuzz|ironmoth|trevenant|vaporeon,ambipom|cacturne|camerupt|grimmsnarl|hitmonchan|palossand,1,5,5.0,6,0,0.0
battle-gen9randomdoublesbattle-61166,v1,random,v1Ab728c380p8000,1,10,arbok|hitmonlee|houndstone|jumpluff|rampardos|thundurustherian,alomomola|bellossom|noctowl|regidrago|sudowoodo|taurospaldeacombat,3,3,2.939,6,0,0.0
battle-gen9randomdoublesbattle-61167,v1,random,v1Ab728c380p8000,1,11,bronzong|garganacl|kyogre|tinkaton|torterra|vigoroth,armarouge|bellossom|drifblim|golduck|ironhands|tornadus,2,4,3.089,6,0,0.0
battle-gen9randomdoublesbattle-61168,v1,random,v1Ab728c380p8000,1,9,garchomp|heatran|hitmonlee|illumise|terapagosterastal|wugtrio,bellossom|dusknoir|flapple|regirock|rhydon|slitherwing,2,4,2.822,6,0,0.0
battle-gen9randomdoublesbattle-61169,v1,random,v1Ab728c380p8000,1,6,clefable|hitmonchan|meloetta|ogerponhearthflame|sneasler|veluza,deoxysattack|ironmoth|murkrow|sandaconda|seviper|trevenant,0,6,4.4,6,0,0.0
battle-gen9randomdoublesbattle-61170,v1,random,v1Ab728c380p8000,1,8,farigiraf|golduck|ironmoth|meowstic|pecharunt|quaquaval,blastoise|drednaw|dudunsparcethreesegment|mesprit|minun|tropius,3,3,3.0,6,0,0.0
battle-gen9randomdoublesbattle-61171,v1,random,v1Ab728c380p8000,1,6,beartic|lucario|morpeko|palafin|quaquaval|scyther,ambipom|arceusfire|oranguru|pincurchin|salamence|volbeat,1,5,4.409,6,0,0.0
battle-gen9randomdoublesbattle-61172,v1,random,v1Ab728c380p8000,1,21,araquanid|beartic|cacturne|dondozo|lilliganthisui|terrakion,furret|gougingfire|revavroom|taurospaldeacombat|vaporeon|walkingwake,1,5,4.9,6,0,0.0
battle-gen9randomdoublesbattle-61173,v1,random,v1Ab728c380p8000,1,6,frosmoth|gliscor|reshiram|rillaboom|samurott|vaporeon,arceusrock|flamigo|hatterene|heatran|mesprit|typhlosion,0,6,5.112,6,0,0.0
battle-gen9randomdoublesbattle-61174,v1,random,v1Ab728c380p8000,1,10,alcremierubycream|duraludon|electivire|furret|overqwil|regice,arcanine|clefable|cyclizar|electabuzz|salamence|vespiquen,0,6,5.802,6,0,0.0
battle-gen9randomdoublesbattle-61175,v1,random,v1Ab728c380p8000,1,8,deoxysdefense|ironvaliant|munkidori|porygonz|reshiram|salazzle,ambipom|diancie|incineroar|inteleon|latios|quagsire,2,4,3.372,6,0,0.0
battle-gen9randomdoublesbattle-61176,v1,random,v1Ab728c380p8000,1,14,electrode|floatzel|garganacl|ironleaves|komala|probopass,comfey|drednaw|frosmoth|greedent|milotic|sandaconda,2,4,3.933,6,0,0.0
battle-gen9randomdoublesbattle-61177,v1,random,v1Ab728c380p8000,1,10,breloom|copperajah|hoopa|houndoom|jumpluff|roaringmoon,cloyster|furret|glalie|ironvaliant|leafeon|miniorindigo,1,5,4.487,6,0,0.0
battle-gen9randomdoublesbattle-61178,v1,random,v1Ab728c380p8000,1,6,calyrex|cyclizar|ironbundle|mimikyubusted|raikou|veluza,amoonguss|breloom|glastrier|meowsticf|regieleki|walkingwake,1,5,4.538,6,0,0.0
battle-gen9randomdoublesbattle-61179,v1,random,v1Ab728c380p8000,1,8,flamigo|hawlucha|kingambit|rabsca|stonjourner|zacian,banette|chesnaught|coalossal|groudon|miraidon|slowbro,2,4,3.176,6,0,0.0
battle-gen9randomdoublesbattle-61180,v1,random,v1Ab728c380p8000,1,9,arceussteel|eternatus|gastrodon|regice|shiftry|uxie,ceruledge|donphan|galvantula|qwilfish|taurospaldeacombat|volcanion,1,5,3.829,6,0,0.0
battle-gen9randomdoublesbattle-61181,v1,random,v1Ab728c380p8000,1,10,electrodehisui|falinks|golemalola|kommoo|tinkaton|volbeat,baxcalibur|chimecho|lokix|porygon2|rayquaza|scizor,1,5,4.427,6,0,0.0
battle-gen9randomdoublesbattle-61182,v1,random,v1Ab728c380p8000,1,6,dragapult|glimmora|hariyama|ironleaves|luxray|veluza,bastiodon|cramorant|hooh|hypno|sylveon|veluza,2,4,3.938,6,0,0.0
battle-gen9randomdoublesbattle-61183,v1,random,v1Ab728c380p8000,1,8,alcremie|bruxish|ironjugulis|meganium|okidogi|palafin,altaria|camerupt|donphan|infernape|latias|overqwil,3,3,2.573,6,0,0.0
battle-gen9randomdoublesbattle-61184,v1,random,v1Ab728c380p8000,1,11,gliscor|gyarados|keldeoresolute|raichu|scovillain|spiritomb,cramorant|donphan|garchomp|hariyama|lanturn|slitherwing,2,4,3.067,6,0,0.0
battle-gen9randomdoublesbattle-61185,v1,random,v1Ab728c380p8000,1,13,drifblim|garchomp|ironvaliant|lumineon|luxray|torkoal,delphox|ditto|gliscor|gothitelle|klawf|toxapex,1,5,4.594,6,0,0.0
battle-gen9randomdoublesbattle-61186,v1,random,v1Ab728c380p8000,1,10,arceuselectric|calyrexice|espathra|mamoswine|rotomfan|zarude,alomomola|ampharos|ariados|camerupt|tyranitar|venusaur,3,3,2.477,6,0,0.0
battle-gen9randomdoublesbattle-61187,v1,random,v1Ab728c380p8000,1,9,corviknight|electivire|enamorustherian|malamar|pawmot|slitherwing,blastoise|deoxysdefense|mamoswine|skeledirge|smeargle|talonflame,2,4,2.951,6,0,0.0
battle-gen9randomdoublesbattle-61188,v1,random,v1Ab728c380p8000,1,9,azelf|calyrexshadow|dialgaorigin|ironvaliant|serperior|zebstrika,breloom|floatzel|golduck|orthworm|plusle|shayminsky,2,4,2.556,6,0,0.0
battle-gen9randomdoublesbattle-61189,v1,random,v1Ab728c380p8000,1,10,ironmoth|magmortar|mismagius|shaymin|swanna|zoroark,lilliganthisui|oricoriopompom|regice|suicune|swalot|vikavolt,2,4,3.437,6,0,0.0
