battle_id,winner,turns,team_us,team_opp
battle-gen9randomdoublesbattle-123092,us,17,abomasnow|jirachi|morpeko|noctowl|tinglu|tinkaton,blaziken|gardevoir|houndstone|rillaboom|shayminsky|slowbro
battle-gen9randomdoublesbattle-123093,us,15,cinccino|dachsbun|dragapult|irontreads|shiftry|whimsicott,beartic|cinccino|golurk|gothitelle|indeedee|mightyena
battle-gen9randomdoublesbattle-123094,us,11,beartic|cloyster|cresselia|gholdengo|milotic|mudsdale,cresselia|groudon|heatran|magmar|raikou|screamtail
battle-gen9randomdoublesbattle-123095,us,14,arboliva|braviaryhisui|chiyu|emboar|toedscruel|zangoose,dipplin|feraligatr|kyogre|spectrier|toxicroak|trevenant
battle-gen9randomdoublesbattle-123096,us,13,altaria|gougingfire|noctowl|politoed|terapagosterastal|zamazentacrowned,clodsire|cobalion|dondozo|leavanny|orthworm|persianalola
battle-gen9randomdoublesbattle-123097,us,14,gogoat|grimmsnarl|hooh|hypno|ragingbolt|zacian,archaludon|cloyster|hooh|ironcrown|persianalola|toedscruel
battle-gen9randomdoublesbattle-123098,us,37,carbink|dodrio|irontreads|kricketune|landorus|orthworm,arceusfire|bellibolt|granbull|jumpluff|ninetales|sandaconda
battle-gen9randomdoublesbattle-123099,opp,19,bastiodon|grafaiai|persianalola|rillaboom|spidops|wigglytuff,drifblim|gyarados|hitmonchan|poliwrath|smeargle|tyranitar
battle-gen9randomdoublesbattle-123100,opp,16,dudunsparce|giratinaorigin|pelipper|quaquaval|toxicroak|wyrdeer,arceus|donphan|duraludon|granbull|pincurchin|spiritomb
battle-gen9randomdoublesbattle-123101,opp,14,eternatus|galvantula|golduck|smeargle|typhlosionhisui|whimsicott,donphan|mew|pyroar|tatsugiri|toxtricity|volcanion
battle-gen9randomdoublesbattle-123102,opp,15,dragalge|flapple|hitmonlee|muk|perrserker|whimsicott,arcaninehisui|ironbundle|landorustherian|metagross|spectrier|wigglytuff
battle-gen9randomdoublesbattle-123103,opp,14,chiyu|drednaw|granbull|meganium|phione|zapdosgalar,dragapult|hitmonlee|leafeon|phione|toxapex|typhlosionhisui
battle-gen9randomdoublesbattle-123104,us,19,azumarill|banette|porygon2|shiftry|skeledirge|veluza,blaziken|furret|landorustherian|quagsire|regice|sinistcha
battle-gen9randomdoublesbattle-123105,us,14,ambipom|flareon|heracross|murkrow|oricoriopau|raichualola,electabuzz|keldeoresolute|politoed|rayquaza|thundurustherian|venomoth
battle-gen9randomdoublesbattle-123106,us,10,gallade|gogoat|ironcrown|palossand|roaringmoon|spidops,espeon|flareon|hoopaunbound|ironjugulis|raikou|tsareena
battle-gen9randomdoublesbattle-123107,opp,15,goodra|hitmontop|inteleon|irontreads|rampardos|tyranitar,chimecho|dusknoir|flareon|keldeoresolute|porygon2|wyrdeer
battle-gen9randomdoublesbattle-123108,us,33,giratina|heracross|irontreads|munkidori|sableye|sceptile,magearnaoriginal|persian|sinistchamasterpiece|terrakion|tinkaton|umbreon
battle-gen9randomdoublesbattle-123109,us,15,calyrexshadow|corviknight|garchomp|necrozmaduskmane|tinglu|zarude,dugtrio|floatzel|lurantis|minun|rabsca|slitherwing
battle-gen9randomdoublesbattle-123110,opp,16,cetitan|gengar|magnezone|meowsticf|slowking|vileplume,bronzong|greedent|illumise|indeedee|luvdisc|mimikyu
battle-gen9randomdoublesbattle-123111,opp,19,arceuswater|clefairy|flareon|lumineon|murkrow|smeargle,braviary|crabominable|gothitelle|hippowdon|qwilfish|sceptile
battle-gen9randomdoublesbattle-123112,us,16,gyarados|irontreads|mesprit|mukalola|sandaconda|trevenant,mewtwo|minioryellow|regirock|slitherwing|volbeat|wochien
battle-gen9randomdoublesbattle-123113,opp,21,blissey|charizard|dodrio|flapple|slowkinggalar|weavile,ambipom|infernape|metagross|talonflame|tinglu|zoroarkhisui
battle-gen9randomdoublesbattle-123114,opp,23,garchomp|greattusk|magmortar|porygonz|regigigas|zamazentacrowned,duraludon|enamorus|flareon|greedent|jumpluff|sableye
battle-gen9randomdoublesbattle-123115,opp,12,arboliva|arceusground|bombirdier|glimmora|grafaiai|tatsugiri,alcremielemoncream|donphan|exeggutoralola|ribombee|stonjourner
battle-gen9randomdoublesbattle-123116,us,11,cobalion|kyogre|landorus|mimikyubusted|oricoriopompom|sinistcha,abomasnow|ironbundle|necrozmaduskmane|quaquaval|zacian|zekrom
battle-gen9randomdoublesbattle-123117,opp,14,glimmora|goodra|grumpig|mightyena|raikou|zaciancrowned,carbink|excadrill|gogoat|hydreigon|kricketune|mienshao
battle-gen9randomdoublesbattle-123118,us,19,arboliva|dewgong|hitmontop|medicham|ninetalesalola|tyranitar,banette|dondozo|giratinaorigin|ironboulder|regice|tsareena
battle-gen9randomdoublesbattle-123119,us,14,klawf|necrozma|regirock|spiritomb|staraptor|trevenant,dugtrio|dusknoir|inteleon|ironleaves|ogerponcornerstone|sylveon
battle-gen9randomdoublesbattle-123120,opp,16,braviaryhisui|excadrill|gothitelle|kricketune|ogerpon|seviper,glaceon|gyarados|latias|primarina|rotomheat|solgaleo
